time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1774158169335216000,9.595216064453124,-1.691092702734091,-0.6972899179735684,-0.15790656817889462,-1.4291667259277736,0.6986973036983601,0.02596852667572832,-1.383925362376765
1774158169355208200,9.615208251953124,-1.7098627874630836,-0.6990507089455638,-0.15551191443624393,-1.4544910851512813,0.6975515167107854,0.02378991578919043,-1.384230380927731
1774158169375201000,9.635200927734376,-1.6985454333195265,-0.699364033132024,-0.15157373129871013,-1.4587377369510581,0.6983068360862934,0.016820154825795023,-1.3799305516084308
1774158169395193000,9.655193115234376,-1.6810336330123634,-0.6991728233793182,-0.14781505222278976,-1.4567163782520454,0.6994381900268389,0.009712335460665873,-1.3751776705911745
1774158169415186200,9.675186279296875,-1.6710221218539942,-0.6995404082121154,-0.14221111773928624,-1.4598122176312738,0.7002722676707158,0.006168037936260311,-1.3781019965310835
1774158169435178000,9.695177978515625,-1.677338683281049,-0.7011456652142463,-0.13461343274338033,-1.4791265391807518,0.700179798514773,0.004722916892070161,-1.3868394641348574
1774158169455171000,9.715171142578125,-1.6919677681142453,-0.7018981741622368,-0.13453019222014623,-1.4890059054452958,0.6994097039461077,0.008166020145121926,-1.391817168111986
1774158169475163000,9.735162841796875,-1.7198794189359274,-0.7027634212820725,-0.13855577274689668,-1.5033054957298437,0.6976665392936124,0.013688075388079743,-1.3938293747327049
1774158169495156000,9.755156005859375,-1.7360479677614684,-0.7034347561832558,-0.13935412472279943,-1.514133973610895,0.6967659867397747,0.01664868058224401,-1.3967893606187642
1774158169515148300,9.775148193359374,-1.7166825126728082,-0.7027369633423125,-0.13624514489385123,-1.5012484702286444,0.6981160243419637,0.015236903960940329,-1.3993308648229783
1774158169535140900,9.795140869140624,-1.6820732765066064,-0.7010178138501907,-0.1336543089163036,-1.4708006651248302,0.7003480845258645,0.014933918791500146,-1.4026992990893397
1774158169555134000,9.815134033203124,-1.6592338619009455,-0.6997901908181959,-0.13245832339180225,-1.4482198428158737,0.701778723524083,0.015968180338561767,-1.4058426956878627
1774158169575126300,9.835126220703126,-1.6406562949480534,-0.6989994022301436,-0.13064203543712305,-1.4329149116786692,0.7029168476632227,0.015501944561354283,-1.4076881346665067
1774158169595119000,9.855119140625,-1.6271398388843792,-0.6981119337811081,-0.1310918062528612,-1.4170502588058846,0.7036872340209099,0.01670390257829449,-1.4086583018871845
1774158169615111200,9.875111083984375,-1.6252354881749609,-0.697394621925633,-0.13431813096220677,-1.4062081421714967,0.7037113971048656,0.019738510290993844,-1.4083313390973844
1774158169635104300,9.895104248046875,-1.638863819494047,-0.6971753793169732,-0.13943629403854846,-1.4051310532614116,0.702768155550878,0.024918965480595953,-1.408473347943278
1774158169655096000,9.915095947265625,-1.6718248412220682,-0.6980328875114901,-0.14422540157738423,-1.4225701851053776,0.7007053426416442,0.031003763267741416,-1.4104610215725168
1774158169675089200,9.935089111328125,-1.679134942449427,-0.6976700971073829,-0.14758352612625378,-1.4182841742560164,0.7001401362523983,0.0357672387798464,-1.412460086740039
1774158169695081000,9.9550810546875,-1.6845356140910555,-0.6974116454226598,-0.14973645367017088,-1.4149687086466363,0.6997271256582295,0.039723404675861135,-1.4150225262844964
1774158169715074000,9.975073974609375,-1.692126455820418,-0.6972001961375149,-0.1522975812023776,-1.4134621025262344,0.6991583669054979,0.04352896643826181,-1.4167963061607876
1774158169735066000,9.995066162109374,-1.6976235518006502,-0.6970356812438664,-0.1541743577849781,-1.4124280698196627,0.6987382403264417,0.04621997809707975,-1.417957344213712
1774158169755059000,10.015058837890624,-1.7006840515290096,-0.6966656228905861,-0.1567251739258443,-1.408897966293229,0.6984017168070422,0.04826188230607579,-1.4172351778573278
1774158169775052000,10.035052001953124,-1.7154845611374991,-0.6958958782635103,-0.16374307114050246,-1.4043557058892522,0.6970816125491982,0.05471981471433946,-1.416451230578954
1774158169795044000,10.055044189453126,-1.712701680346954,-0.6935386664271167,-0.17302224587046514,-1.3757323482355646,0.6964527439621497,0.06341145843016585,-1.4155728158726635
1774158169815037000,10.075036865234376,-1.6849515068419545,-0.6893141467090732,-0.18362727050032013,-1.318307016568935,0.696951080798378,0.07339165766768187,-1.4143672353873047
1774158169835029200,10.095029296875,-1.6690567626112294,-0.6865331089196659,-0.19037218039039452,-1.281087443359081,0.6969935995257482,0.08142865693221898,-1.415863297430366
1774158169855022000,10.11502197265625,-1.6857372912570587,-0.68707231500959,-0.19144701391060387,-1.2925853117716057,0.6958663795109977,0.08396216775541025,-1.4181336064010757
1774158169875014100,10.13501416015625,-1.6997704375746436,-0.6885434029716556,-0.1887660156778435,-1.3137059643432385,0.6954080179710905,0.08174954066047578,-1.4189949301986258
1774158169895007200,10.15500732421875,-1.711960082045849,-0.690064570954551,-0.18521550837697426,-1.3342185886229647,0.6951089067364444,0.07955911924368378,-1.4210652155279757
1774158169914999000,10.1749990234375,-1.745436022388452,-0.692941210130686,-0.17959053341790035,-1.3777974188399764,0.6938715709122807,0.07824301167522037,-1.4273403115207388
1774158169934992100,10.1949921875,-1.7807530983224646,-0.6951864534136937,-0.1765251221872149,-1.4174967883515377,0.6924034253111296,0.07830867275662495,-1.4317300501220684
1774158169954984200,10.214984130859374,-1.814861003480598,-0.6972394274962629,-0.1738541703637797,-1.4558792240735263,0.6910437247910055,0.07804092420170926,-1.4349077216438337
1774158169974977000,10.23497705078125,-1.8610319956240609,-0.6998680018183708,-0.17083517528138586,-1.5074416978258025,0.6892161671243249,0.07733929774232123,-1.4376207254969393
1774158169994969000,10.254968994140626,-1.9084767815177386,-0.7020389651598602,-0.16981936315229965,-1.555130240213385,0.6871587963147344,0.07820061505489284,-1.4394346738001724
1774158170014962000,10.2749619140625,-1.9246984030402983,-0.7024233232930686,-0.171209172200259,-1.5671163684570006,0.6862423819160682,0.07975159774485935,-1.439352713897026
1774158170034955000,10.294955078125,-1.9091878694576714,-0.701629893565395,-0.17180371353898202,-1.5505278663760096,0.6868875928288167,0.07990320087911391,-1.4390733892762724
1774158170054947000,10.314947021484375,-1.897228768278594,-0.70078338698258,-0.1743607144126619,-1.5342411173139048,0.687057904719073,0.08032651786991818,-1.4363008507875819
1774158170074940000,10.33493994140625,-1.9121803565136903,-0.7011323813400628,-0.17799491643507007,-1.5433869642580988,0.6857277181350214,0.080675934422597,-1.4313393714511649
1774158170094932000,10.354931884765625,-1.9068165864956343,-0.7014096687390367,-0.17795884438036425,-1.5426168132583826,0.6858214186542126,0.07748555819339405,-1.4268808473389276
1774158170114925000,10.374925048828125,-1.8864376086516617,-0.7020563712487651,-0.17286445139912704,-1.540423179154448,0.6872735117925434,0.0699268369830277,-1.4235935718762014
1774158170134917000,10.394917236328125,-1.8967234674732971,-0.7043981587451771,-0.16471841547373764,-1.5725809882324555,0.6875594093229047,0.06287410659223511,-1.424681523070668
1774158170154910200,10.41491015625,-1.8767321837210271,-0.7053232334315876,-0.15691621297560351,-1.5763613627493926,0.6891798603205365,0.05410678164122246,-1.4234870689440506
1774158170174902000,10.434902099609374,-1.836872635134086,-0.7042393988040658,-0.15415610390535775,-1.5483214412925814,0.6913183111673852,0.04859757115703935,-1.420257466675461
1774158170194895000,10.45489501953125,-1.7975200461481844,-0.7021193850809416,-0.15604126520188372,-1.5083479619625135,0.6931520913769672,0.047113145718286405,-1.4160731574622927
1774158170214887200,10.47488720703125,-1.783772338167778,-0.7003886440854112,-0.16141127698449712,-1.4823946584340018,0.6934545717643392,0.0502296999155502,-1.413093721260053
1774158170234880000,10.4948798828125,-1.829370164989127,-0.7015781324688285,-0.16713685925610597,-1.5115989590953158,0.6904538775660526,0.05591710831154261,-1.412557275035759
1774158170254872000,10.5148720703125,-1.8603435646192892,-0.7023873769234539,-0.17223501430233076,-1.531101251114201,0.6881379188837193,0.058765377928023235,-1.4088894408620432
1774158170274865200,10.534865234375,-1.8710475717800439,-0.7018673674904046,-0.17779877334189687,-1.5283709587837768,0.6869223145510042,0.0625102850023973,-1.406203893252543
1774158170294857000,10.55485693359375,-1.9049276849644567,-0.7016286702215235,-0.18652622587732304,-1.5378502365005577,0.684052184410954,0.07069465285309134,-1.404920149632791
1774158170314850000,10.57485009765625,-1.9428530496878627,-0.70112977603635,-0.19642068134499346,-1.5473590974336382,0.6807080264024759,0.08045193233816439,-1.404075100875667
1774158170334843100,10.594843017578125,-1.9637928532630253,-0.6996170859099199,-0.20680669529167353,-1.5403697907855673,0.678079375253758,0.08930491759663767,-1.4016542094880922
1774158170354835000,10.6148349609375,-1.9595243797045803,-0.6971009014452558,-0.21517951380992834,-1.5140824061934863,0.6771419818695331,0.09605657342208682,-1.399774547752131
